time,open,high,low,close,tick_volume,spread,real_volume
2023-07-31 01:57:00,11024.095,11024.095,11023.408,11023.408,60,1100,0
2023-07-31 01:58:00,11023.394,11023.394,11022.66,11022.66,60,1100,0
2023-07-31 01:59:00,11022.653,11022.653,11022.015,11022.015,59,1100,0
2023-07-31 02:00:00,11022.009,11022.009,11021.34,11021.34,58,1100,0
2023-07-31 02:01:00,11021.337,11021.337,11020.711,11020.711,58,1100,0
2023-07-31 02:02:00,11020.688,11020.688,11020.064,11020.064,56,1100,0
2023-07-31 02:03:00,11020.057,11020.057,11019.436,11019.436,56,1100,0
2023-07-31 02:04:00,11019.435,11019.435,11018.664,11018.664,58,1100,0
2023-07-31 02:05:00,11018.652,11018.652,11018.013,11018.013,57,1100,0
2023-07-31 02:06:00,11017.998,11017.998,11017.303,11017.303,59,1100,0
2023-07-31 02:07:00,11017.282,11017.282,11016.661,11016.661,59,1100,0
2023-07-31 02:08:00,11016.645,11016.645,11015.978,11015.978,58,1100,0
2023-07-31 02:09:00,11015.965,11015.965,11015.272,11015.272,59,1100,0
2023-07-31 02:10:00,11015.271,11015.271,11014.619,11014.619,59,1100,0
2023-07-31 02:11:00,11014.61,11026.552,11014.457,11026.056,59,1100,0
2023-07-31 02:12:00,11026.049,11026.049,11025.359,11025.359,59,1100,0
2023-07-31 02:13:00,11025.346,11025.346,11024.713,11024.713,57,1100,0
2023-07-31 02:14:00,11024.683,11024.683,11024.052,11024.052,57,1100,0
2023-07-31 02:15:00,11024.037,11024.037,11023.43,11023.43,54,1100,0
2023-07-31 02:16:00,11023.42,11023.42,11022.739,11022.739,60,1100,0
2023-07-31 02:17:00,11022.736,11022.736,11022.032,11022.032,60,1100,0
2023-07-31 02:18:00,11022.023,11022.023,11021.354,11021.354,56,1100,0
2023-07-31 02:19:00,11021.354,11021.354,11020.671,11020.671,59,1100,0
2023-07-31 02:20:00,11020.67,11020.67,11019.947,11019.947,58,1100,0
2023-07-31 02:21:00,11019.933,11019.933,11019.352,11019.352,60,1100,0
2023-07-31 02:22:00,11019.34,11019.34,11018.628,11018.628,58,1100,0
2023-07-31 02:23:00,11018.616,11018.616,11017.994,11017.994,60,1100,0
2023-07-31 02:24:00,11017.988,11017.988,11017.402,11017.402,58,1100,0
2023-07-31 02:25:00,11017.398,11017.398,11016.76,11016.76,57,1100,0
2023-07-31 02:26:00,11016.755,11016.755,11016.103,11016.103,58,1100,0
2023-07-31 02:27:00,11016.084,11016.084,11015.411,11015.411,59,1100,0
2023-07-31 02:28:00,11015.41,11015.41,11014.676,11014.676,53,1100,0
2023-07-31 02:29:00,11014.661,11014.661,11014.06,11014.06,60,1100,0
2023-07-31 02:30:00,11014.058,11017.114,11013.455,11017.114,57,1100,0
2023-07-31 02:31:00,11017.11,11017.11,11016.466,11016.466,57,1100,0
2023-07-31 02:32:00,11016.465,11027.93,11016.355,11027.461,58,1100,0
2023-07-31 02:33:00,11027.458,11027.458,11026.88,11026.88,57,1100,0
2023-07-31 02:34:00,11026.871,11026.871,11026.3,11026.3,55,1100,0
2023-07-31 02:35:00,11026.29,11026.29,11025.68,11025.68,57,1100,0
