,timestamp,open,high,low,close,volume
0,2023-02-22,1659.42,1666.66,1593.38,1643.6,982329.4015092
1,2023-02-23,1643.6,1680.18,1629.0,1649.96,814088.87232667
2,2023-02-24,1649.96,1664.67,1573.37,1607.76,879122.82485868
3,2023-02-25,1607.77,1608.53,1556.84,1594.55,388052.28838292
4,2023-02-26,1594.55,1651.82,1587.82,1641.43,394656.47616641
5,2023-02-27,1641.43,1665.12,1607.07,1633.11,650121.53037907
6,2023-02-28,1633.11,1647.4,1594.98,1604.7,556200.62819236
7,2023-03-01,1604.75,1670.06,1594.05,1664.9,640932.93883621
8,2023-03-02,1664.88,1678.0,1618.47,1647.09,522034.89281883
9,2023-03-03,1647.09,1648.34,1525.46,1568.74,914370.78316625
10,2023-03-04,1568.78,1576.74,1548.68,1566.1,223798.80858112
11,2023-03-05,1566.09,1588.78,1552.51,1563.97,354226.08928385
12,2023-03-06,1564.02,1583.24,1554.1,1565.04,385974.85882403
13,2023-03-07,1565.04,1584.25,1533.33,1561.33,661294.64921673
14,2023-03-08,1561.32,1570.23,1520.92,1531.76,623002.25809562
15,2023-03-09,1531.77,1545.36,1404.82,1436.72,1215906.74622607
16,2023-03-10,1436.72,1437.59,1367.33,1429.81,1731326.39864203
17,2023-03-11,1429.82,1490.0,1414.24,1482.66,1322533.29967353
18,2023-03-12,1482.65,1610.24,1457.16,1589.99,1197302.70177542
19,2023-03-13,1589.99,1703.82,1569.61,1679.62,1666661.09632054
20,2023-03-14,1679.63,1786.52,1658.54,1704.86,1825435.03429188
21,2023-03-15,1704.81,1725.62,1612.47,1655.08,1746733.03193387
22,2023-03-16,1655.1,1695.87,1636.59,1676.36,888477.39443529
23,2023-03-17,1676.36,1804.25,1665.37,1792.62,1319789.31555505
24,2023-03-18,1792.58,1847.46,1750.0,1762.82,1077113.44479967
25,2023-03-19,1762.83,1846.64,1762.08,1784.74,1063446.88666216
26,2023-03-20,1784.74,1808.08,1727.17,1736.97,1248842.60969816
27,2023-03-21,1737.05,1839.46,1721.06,1805.03,1103446.28568532
28,2023-03-22,1805.03,1822.57,1712.3,1737.64,1362364.66690996
29,2023-03-23,1737.71,1862.51,1732.4,1816.33,964624.47804126
30,2023-03-24,1816.33,1821.04,1727.4,1750.87,1024886.73423101
31,2023-03-25,1750.87,1764.44,1714.59,1743.64,379542.80311561
32,2023-03-26,1743.65,1806.89,1740.87,1774.99,499971.25020741
33,2023-03-27,1774.93,1781.77,1684.74,1715.4,825462.18962546
34,2023-03-28,1715.23,1796.08,1701.62,1773.01,664135.26541065
35,2023-03-29,1773.02,1828.62,1772.9,1793.06,631073.57742191
36,2023-03-30,1793.05,1830.37,1761.5,1793.07,759640.0697369
37,2023-03-31,1793.07,1847.82,1779.2,1821.88,627937.48536975
38,2023-04-01,1821.89,1843.0,1807.5,1820.7,245550.79770193
39,2023-04-02,1820.71,1825.39,1771.81,1794.09,343049.97760336
40,2023-04-03,1794.11,1839.66,1762.51,1810.53,677820.1239834
41,2023-04-04,1810.54,1893.54,1802.17,1870.4,633431.99034951
42,2023-04-05,1870.38,1944.33,1864.84,1908.65,720208.23913431
43,2023-04-06,1908.65,1909.32,1851.71,1872.34,499055.51398201
44,2023-04-07,1872.34,1882.68,1840.12,1864.31,316308.91393971
45,2023-04-08,1864.31,1879.87,1847.18,1848.86,189578.65604318
46,2023-04-09,1848.85,1874.43,1820.91,1858.86,350504.79971379
47,2023-04-10,1858.87,1919.87,1846.22,1911.28,514581.03647459
